,account,zip_code,neighborhood_code,acreage,new_owner_date,full_addr,sq_ft
49,41360010006,77006,8333.1,0.0,2019-10-15 00:00:00.000,"201 AVONDALE ST HOUSTON,TX 77006",1422.0
50,41360010007,77006,8333.1,0.0,2019-02-28 00:00:00.000,"201 AVONDALE ST B HOUSTON,TX 77006",1440.0
51,41360010008,77006,8333.1,0.0,2016-05-11 00:00:00.000,"201 AVONDALE ST HOUSTON,TX 77006",1468.0
52,41360010009,77006,8333.1,0.0,2012-08-06 00:00:00.000,"3012 HELENA ST HOUSTON,TX 77006",1422.0
53,41360010010,77006,8333.1,0.0,2007-04-27 00:00:00.000,"3010 HELENA ST HOUSTON,TX 77006",1468.0
54,41360070001,77006,8333.1,0.0,2018-06-08 00:00:00.000,"218 STRATFORD ST 1 HOUSTON,TX 77006",1543.0
55,41360070002,77006,8333.1,0.0,1988-05-28 00:00:00.000,"218 STRATFORD ST 2 HOUSTON,TX 77006",1611.0
56,41360070003,77006,8333.1,0.0,1991-10-17 00:00:00.000,"218 STRATFORD ST 3 HOUSTON,TX 77006",1611.0
57,41360070004,77006,8333.1,0.0,2012-04-27 00:00:00.000,"218 STRATFORD ST 4 HOUSTON,TX 77006",1611.0
58,41360070005,77006,8333.1,0.0,2018-10-18 00:00:00.000,"218 STRATFORD ST 5 HOUSTON,TX 77006",1611.0
59,41360070006,77006,8333.1,0.0,2014-12-05 00:00:00.000,"216 STRATFORD ST 5 HOUSTON,TX 77006",1611.0
60,41360070007,77006,8333.1,0.0,2000-04-11 00:00:00.000,"216 STRATFORD ST 4 HOUSTON,TX 77006",1611.0
61,41360070008,77006,8333.1,0.0,2012-11-20 00:00:00.000,"216 STRATFORD ST 3 HOUSTON,TX 77006",1611.0
62,41360070009,77006,8333.1,0.0,2016-06-24 00:00:00.000,"216 STRATFORD ST 2 HOUSTON,TX 77006",1611.0
63,41360070010,77006,8333.1,0.0,2016-10-21 00:00:00.000,"216 STRATFORD ST 1 HOUSTON,TX 77006",1543.0
64,41370000001,77006,8316.08,0.0284,2013-08-16 00:00:00.000,"3006 BALDWIN ST HOUSTON,TX 77006",1725.0
65,41370000002,77006,8316.03,0.1492,2012-06-19 00:00:00.000,"104 STRATFORD ST HOUSTON,TX 77006",1054.0
66,41370000003,77006,8316.03,0.1378,2008-04-30 00:00:00.000,"106 STRATFORD ST HOUSTON,TX 77006",2556.0
67,41370000003,77006,8316.03,0.1378,2008-04-30 00:00:00.000,"106 STRATFORD ST HOUSTON,TX 77006",2030.0
68,41370000004,77006,8316.03,0.1492,2015-10-29 00:00:00.000,"108 STRATFORD ST HOUSTON,TX 77006",396.0
69,41370000004,77006,8316.03,0.1492,2015-10-29 00:00:00.000,"108 STRATFORD ST HOUSTON,TX 77006",3653.0
70,41370000005,77006,8316.03,0.1492,1988-01-02 00:00:00.000,"110 STRATFORD ST HOUSTON,TX 77006",2318.0
71,41370000006,77006,8316.03,0.1378,1991-05-28 00:00:00.000,"112 STRATFORD ST HOUSTON,TX 77006",1652.0
72,41370000012,77006,8316.08,0.0287,2008-04-10 00:00:00.000,"3010 BALDWIN ST HOUSTON,TX 77006",1855.0
73,41370000013,77006,8316.08,0.0313,2018-05-08 00:00:00.000,"3014 BALDWIN ST HOUSTON,TX 77006",1639.0
74,41370000014,77006,8316.08,0.0298,2016-07-08 00:00:00.000,"3002 BALDWIN ST HOUSTON,TX 77006",1722.0
75,41370000015,77006,8316.08,0.0284,2018-07-09 00:00:00.000,"3018 BALDWIN ST HOUSTON,TX 77006",1679.0
76,41370000016,77006,8316.08,0.0298,2007-08-15 00:00:00.000,"3022 BALDWIN ST HOUSTON,TX 77006",1376.0
77,41380000002,77006,8316.03,0.2985,2014-03-07 00:00:00.000,"104 AVONDALE ST HOUSTON,TX 77006",3986.0
78,41380000003,77006,8316.03,0.2238,2018-01-23 00:00:00.000,"106 AVONDALE ST HOUSTON,TX 77006",1200.0
79,41380000003,77006,8316.03,0.2238,2018-01-23 00:00:00.000,"106 AVONDALE ST HOUSTON,TX 77006",3680.0
80,41390000001,77006,8316.03,0.228,2005-08-25 00:00:00.000,"202 AVONDALE ST HOUSTON,TX 77006",4726.0
81,41390000004,77006,8316.03,0.2985,2005-04-20 00:00:00.000,"216 AVONDALE ST HOUSTON,TX 77006",4463.0
82,41390000005,77006,8316.03,0.2089,2018-03-26 00:00:00.000,"218 AVONDALE ST HOUSTON,TX 77006",3213.0
83,41390000022,77006,8316.03,0.0406,2008-01-01 00:00:00.000,"3106 HELENA ST HOUSTON,TX 77006",1054.0
84,41400000001,77006,8316.08,0.0296,2014-09-17 00:00:00.000,"302 AVONDALE ST E HOUSTON,TX 77006",2570.0
85,41400000002,77006,8316.08,0.0314,2002-12-13 00:00:00.000,"304 AVONDALE ST C HOUSTON,TX 77006",1920.0
