school_id,name,address,city,zip_code,school_type,latitude,longitude,school_rating,district_id
101912039,T H ROGERS SCHOOL ELEMENTARY,5840 SAN FELIPE ST,HOUSTON,77057,Elementary,29.751605,-95.481162,85,5
101912039,T H ROGERS SCHOOL MIDDLE,5840 SAN FELIPE ST,HOUSTON,77057,Middle,29.751605,-95.481162,85,5
101912068,TANGLEWOOD MIDDLE,5215 SAN FELIPE,HOUSTON,77056,Middle,29.749952,-95.469024,85,5
101914002,TAYLOR HIGH,20700 KINGSLAND BLVD,KATY,77450,High,29.777434,-95.734119,95,12
101903003,TAYLOR HIGH,7555 HOWELL SUGAR LAND RD,HOUSTON,77083,High,29.695537,-95.631842,75,4
101914054,TAYS JUNIOR HIGH ,26721 HAWKS PRAIRIE BLVD,KATY,77494,Middle,29.74063,-95.829571,95,12
101917128,TEAGUE ELEMENTARY,4200 CRENSHAW,PASADENA,77504,Elementary,29.640879,-95.1795,75,9
101902045,TEAGUE MIDDLE,21700 RAYFORD RD,HUMBLE,77338,Middle,30.025785,-95.362538,65,6
101920122,TERRACE ELEMENTARY,10400 ROTHBURY,HOUSTON,77043,Elementary,29.819987,-95.549864,65,15
101915106,THEISS ELEMENTARY,17510 THEISS MAIL RD,KLEIN,77379,Elementary,30.025061,-95.539924,95,13
101917148,THOMAS HANCOCK ELEMENTARY,9604 MINNESOTA ST,HOUSTON,77075,Elementary,29.630338,-95.240888,55,9
101912077,THOMAS MIDDLE,5655 SELINSKY RD,HOUSTON,77048,Middle,29.63814,-95.33213,55,5
101902117,THOMPSON ELEMENTARY,220 CASA GRANDE DR,HOUSTON,77060,Elementary,29.921889,-95.40154,85,6
101912243,THOMPSON ELEMENTARY,6121 TIERWESTER,HOUSTON,77021,Elementary,29.705833,-95.363177,75,5
101917049,THOMPSON INTERMEDIATE,11309 SAGEDOWNE LN,HOUSTON,77089,Middle,29.594984,-95.215009,85,9
101907050,THORNTON MIDDLE,19802 KIETH HARROW BLVD,KATY,77449,Middle,29.846585,-95.713577,85,1
101920123,THORNWOOD ELEMENTARY,14400 FERN,HOUSTON,77079,Elementary,29.776246,-95.600058,55,15
101910111,TICE ELEMENTARY,14120 WALLISVILLE,HOUSTON,77049,Elementary,29.805932,-95.201987,85,18
101912279,TIJERINA ELEMENTARY,6501 SHERMAN ST,HOUSTON,77011,Elementary,29.740839,-95.310547,95,5
101921113,TIMBER CREEK ELEMENTARY,8455 CREEKSIDE GREEN DR,THE WOODLANDS,77389,Elementary,30.145113,-95.548164,95,17
101913110,TIMBERS ELEMENTARY,6910 LONESOME WOODS TRL,HUMBLE,77346,Elementary,29.990814,-95.172165,85,8
101913046,TIMBERWOOD MIDDLE,18450 TIMBER FOREST DR,HUMBLE,77346,Middle,29.991383,-95.190958,75,8
101912374,TINSLEY ELEMENTARY,11035 BOB WHITE,HOUSTON,77096,Elementary,29.665588,-95.501017,85,5
101907141,TIPPS ELEMENTARY,5611 QUEENSTON BLVD,HOUSTON,77084,Elementary,29.852899,-95.66952,85,1
101914133,TOM WILSON ELEMENTARY,5200 FALCON LANDING BLVD,KATY,77494,Elementary,29.722402,-95.821668,95,12
101921108,TOMBALL ELEMENTARY,1110 INWOOD,TOMBALL,77375,Elementary,30.100999,-95.62723,75,17
101921001,TOMBALL HIGH,30330 QUINN RD,TOMBALL,77375,High,30.108352,-95.629235,85,17
101921105,TOMBALL INTERMEDIATE,723 W MAIN ST,TOMBALL,77375,Elementary,30.092848,-95.621854,85,17
101921042,TOMBALL JUNIOR HIGH ,30430 QUINN RD,TOMBALL,77375,Middle,30.110417,-95.629235,95,17
101921002,TOMBALL MEMORIAL HIGH,19100 NORTHPOINTE RIDGE LN,TOMBALL,77377,High,30.053404,-95.485354,95,17
101914012,TOMPKINS HIGH,4400 FALCON LANDING BLVD,KATY,77494,High,29.732373,-95.813678,95,12
101912249,TRAVIS ELEMENTARY,3311 BEAUCHAMP ST,HOUSTON,77009,Elementary,29.788934,-95.374639,95,5
101911114,TRAVIS ELEMENTARY,100 ROBIN RD,BAYTOWN,77520,Elementary,29.775563,-95.036651,75,3
101920125,TREASURE FOREST ELEMENTARY,7635 AMELIA RD,HOUSTON,77055,Elementary,29.805809,-95.480121,55,15
101907048,TRUITT MIDDLE,6600 ADDICKS SATSUMA RD,HOUSTON,77084,Middle,29.870599,-95.631206,85,1
101917132,TURNER ELEMENTARY,4333 LILY ST,PASADENA,77505,Elementary,29.645847,-95.16549,85,9
101912251,TWAIN ELEMENTARY,7500 BRAES BLVD,HOUSTON,77025,Elementary,29.698258,-95.437283,95,5
101919045,TWIN CREEKS MIDDLE,27100 CYPRESSWOOD DR,SPRING,77373,Middle,30.060974,-95.399036,75,7
101915049,ULRICH INTERMEDIATE,10103 SPRING CYPRESS RD,KLEIN,77070,Middle,30.019804,-95.573232,75,13
101914128,URSULA STEPHENS ELEMENTARY,2715 FRY RD,KATY,77494,Elementary,29.807037,-95.72055,85,12
101920115,VALLEY OAKS ELEMENTARY,8390 WESTVIEW DR,HOUSTON,77055,Elementary,29.796,-95.494261,95,15
101912285,VALLEY WEST ELEMENTARY,10707 S GESSNER DR,HOUSTON,77071,Elementary,29.66407,-95.525634,75,5
101911122,VICTORIA WALKER ELEMENTARY,4711 SEABIRD ST,BAYTOWN,77521,Elementary,29.812649,-94.985309,85,3
101902008,VICTORY EARLY COLLEGE HIGH,4141 S VICTORY ST,HOUSTON,77088,High,29.869518,-95.464902,95,6
101905101,VIOLA COBB ELEMENTARY,915 DELL DALE ST,CHANNELVIEW,77530,Elementary,29.790407,-95.141228,75,2
101912252,WAINWRIGHT ELEMENTARY,5330 MILWEE ST,HOUSTON,77092,Elementary,29.823047,-95.469094,65,5
101907137,WALKER ELEMENTARY,6424 SETTLERS VILLAGE,KATY,77449,Elementary,29.869999,-95.730842,85,1
101912253,WALNUT BEND ELEMENTARY,10620 BRIAR FOREST,HOUSTON,77042,Elementary,29.748022,-95.562898,75,5
101912015,WALTRIP HIGH,1900 W 34TH ST,HOUSTON,77018,High,29.818369,-95.432308,75,5
101907149,WARNER ELEMENTARY,10400 WARNER SMITH BLVD,CYPRESS,77433,Elementary,29.93433,-95.74763,95,1
101907045,WATKINS MIDDLE,4800 CAIRNVILLAGE ST,HOUSTON,77084,Middle,29.847812,-95.661337,85,1
101912056,WELCH MIDDLE,11544 S GESSNER,HOUSTON,77071,Middle,29.653024,-95.534589,75,5
101907158,WELLS ELEMENTARY,10607 MASON RD,CYPRESS,77433,Elementary,29.994079,-95.738354,95,1
101912099,WEST BRIAR MIDDLE,13733 BRIMHURST,HOUSTON,77077,Middle,29.760099,-95.629794,95,5
101914103,WEST MEMORIAL ELEMENTARY,22605 PROVINCIAL BLVD,KATY,77450,Elementary,29.778656,-95.762843,85,12
101914042,WEST MEMORIAL JUNIOR HIGH ,22311 PROVINCIAL BLVD,KATY,77450,Middle,29.779231,-95.758639,85,12
101912255,WEST UNIVERSITY ELEMENTARY,3756 UNIVERSITY BLVD,HOUSTON,77005,Elementary,29.716431,-95.434127,95,5
101912017,WESTBURY HIGH,11911 CHIMNEY ROCK,HOUSTON,77035,High,29.64891,-95.480606,75,5
101919002,WESTFIELD HIGH,16713 ELLA BLVD,HOUSTON,77090,High,30.00987,-95.447432,65,7
101912036,WESTSIDE HIGH,14201 BRIAR FOREST,HOUSTON,77077,High,29.754475,-95.637697,85,5
101920116,WESTWOOD ELEMENTARY,10595 HAMMERLY,HOUSTON,77043,Elementary,29.812514,-95.558558,65,15
101912256,WHARTON K-8 DUAL LANGUAGE ACADEMY ELEMENTARY,900 W GRAY ST,HOUSTON,77019,Elementary,29.754577,-95.391148,85,5
101912256,WHARTON K-8 DUAL LANGUAGE ACADEMY MIDDLE,900 W GRAY ST,HOUSTON,77019,Middle,29.754577,-95.391148,85,5
101912018,WHEATLEY HIGH,4801 PROVIDENCE,HOUSTON,77020,High,29.770938,-95.320884,55,5
101912257,WHIDBY ELEMENTARY,7625 SPRINGHILL ST,HOUSTON,77021,Elementary,29.681664,-95.375494,55,5
101913115,WHISPERING PINES ELEMENTARY,17321 WOODLAND HILLS DR,HUMBLE,77346,Elementary,29.973656,-95.214357,55,8
101912267,WHITE E ELEMENTARY,9001 TRIOLA LN,HOUSTON,77036,Elementary,29.695891,-95.543452,85,5
101912258,WHITTIER ELEMENTARY,10511 LACROSSE ST,HOUSTON,77029,Elementary,29.759665,-95.256251,85,5
101920118,WILCHESTER ELEMENTARY,13618 ST MARYS LN,HOUSTON,77079,Elementary,29.783925,-95.610205,95,15
101921114,WILDWOOD ELEMENTARY,13802 NORTHPOINTE BLVD,TOMBALL,77377,Elementary,30.029642,-95.639508,85,17
101907131,WILLBERN ELEMENTARY,10811 GOODSPRING DR,HOUSTON,77064,Elementary,29.922108,-95.561478,85,1
101917120,WILLIAMS ELEMENTARY,1522 SCARBOROUGH LN,PASADENA,77502,Elementary,29.687569,-95.229254,75,9
101913113,WILLOW CREEK ELEMENTARY,2002 WILLOW TER,KINGWOOD,77345,Elementary,30.052603,-95.151306,95,8
